epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9027,2.00837,3.1154,1.8795,0.96711,0.15794,0.62234,0.28701,1.7682,2.81634,1.77107,0.00054409,0.00054409,0.00054409
2,37.2266,1.53549,2.05843,1.41654,0.49729,0.48056,0.44917,0.19593,1.67507,2.04656,1.70851,0.00107254,0.00107254,0.00107254
3,54.778,1.46724,1.66931,1.36817,0.77071,0.7327,0.82504,0.41218,1.75916,2.91378,1.74722,0.00157348,0.00157348,0.00157348
4,72.8909,1.43798,1.54625,1.33796,0.48731,0.58333,0.47203,0.20204,1.71097,3.43098,1.5194,0.00154323,0.00154323,0.00154323
5,90.2564,1.40115,1.36074,1.30009,0.82786,0.94078,0.94726,0.51942,1.40986,1.2281,1.30784,0.00150197,0.00150197,0.00150197
6,108.065,1.38401,1.24062,1.29204,0.41309,0.86667,0.86066,0.50264,1.49921,2.07182,1.44607,0.00146071,0.00146071,0.00146071
7,125.25,1.37633,1.14344,1.28271,0.81807,0.96049,0.92827,0.58976,1.48466,0.93519,1.42285,0.00141945,0.00141945,0.00141945
8,143.09,1.31641,1.07388,1.25151,0.87504,0.90417,0.94414,0.51711,1.43675,1.04287,1.27905,0.00137819,0.00137819,0.00137819
9,160.724,1.34355,1.04216,1.23882,0.93841,0.82639,0.91687,0.58061,1.40832,1.04065,1.24852,0.00133693,0.00133693,0.00133693
10,177.728,1.33294,1.005,1.24497,0.96976,0.96667,0.97956,0.62668,1.33902,0.87447,1.21699,0.00129568,0.00129568,0.00129568
11,195.169,1.32997,0.916,1.2378,0.9082,0.98889,0.9714,0.65766,1.35986,0.79208,1.2107,0.00125442,0.00125442,0.00125442
12,213.166,1.28416,0.89588,1.21757,0.9387,0.98889,0.98535,0.61281,1.27043,0.7893,1.20962,0.00121316,0.00121316,0.00121316
13,231.298,1.28176,0.88908,1.2072,0.90891,0.98889,0.9854,0.66726,1.19388,0.80475,1.11999,0.0011719,0.0011719,0.0011719
14,248.36,1.25841,0.87628,1.2108,0.9901,0.98889,0.98585,0.54125,1.29205,0.7639,1.20397,0.00113064,0.00113064,0.00113064
15,266.045,1.2205,0.8309,1.1805,0.92459,0.97954,0.97946,0.6473,1.28037,0.70853,1.1684,0.00108938,0.00108938,0.00108938
16,283.208,1.21259,0.83038,1.18127,0.93438,0.96351,0.98148,0.61622,1.41392,0.80316,1.29691,0.00104813,0.00104813,0.00104813
17,302.352,1.25724,0.82445,1.20095,0.98075,0.97223,0.97946,0.6895,1.29444,0.75301,1.19287,0.00100687,0.00100687,0.00100687
18,319.813,1.22585,0.83844,1.18357,0.92337,0.98889,0.98595,0.6396,1.30214,0.67859,1.18461,0.00096561,0.00096561,0.00096561
19,337.197,1.22987,0.77158,1.18429,0.88162,0.97778,0.97356,0.60961,1.23201,0.71813,1.15035,0.000924352,0.000924352,0.000924352
20,354.164,1.20025,0.76757,1.17556,0.8811,0.98889,0.98637,0.70079,1.20101,0.63675,1.14234,0.000883093,0.000883093,0.000883093
21,372.845,1.20581,0.73748,1.18156,0.97088,0.98889,0.98686,0.67499,1.24222,0.60371,1.13644,0.000841835,0.000841835,0.000841835
22,391.485,1.16263,0.72042,1.14711,0.88959,0.98889,0.97996,0.68423,1.20595,0.66355,1.11707,0.000800577,0.000800577,0.000800577
23,408.398,1.13787,0.70432,1.13816,0.99871,0.9733,0.9861,0.67904,1.28334,0.61841,1.13553,0.000759318,0.000759318,0.000759318
24,426.247,1.14571,0.70088,1.15165,0.93476,0.97778,0.9861,0.67759,1.29922,0.63671,1.18068,0.00071806,0.00071806,0.00071806
25,444.771,1.09498,0.68504,1.1408,0.89195,0.97778,0.98184,0.73154,1.22646,0.65087,1.09857,0.000676802,0.000676802,0.000676802
26,462.382,1.10163,0.66229,1.1159,0.99224,0.97778,0.97738,0.62405,1.3011,0.6006,1.17817,0.000635544,0.000635544,0.000635544
27,480.228,1.12445,0.66831,1.13409,0.93864,0.98889,0.98629,0.69229,1.29014,0.57357,1.12727,0.000594286,0.000594286,0.000594286
28,497.799,1.12452,0.64736,1.1382,0.89863,0.98889,0.98736,0.69855,1.28198,0.5838,1.13668,0.000553027,0.000553027,0.000553027
29,514.968,1.09296,0.64481,1.11134,0.92832,0.98889,0.98708,0.73234,1.20203,0.57306,1.06396,0.000511769,0.000511769,0.000511769
30,533.99,1.07731,0.64333,1.12591,0.99503,0.98889,0.98813,0.69124,1.27273,0.52649,1.09504,0.000470511,0.000470511,0.000470511
